iter	RMSE
0	13.91413745
1	13.87400973
2	13.83399535
3	13.81664959
4	13.78484313
5	13.76582757
6	13.7290992
7	13.71636761
8	13.68426348
9	13.65491927
10	13.6189165
11	13.5869941
12	13.55567135
13	13.53627622
14	13.49318756
15	13.4636467
16	13.44194525
17	13.41424546
18	13.40131616
19	13.38616042
20	13.36845635
21	13.33595104
22	13.3073261
23	13.28527209
24	13.26984292
25	13.24450181
26	13.22604137
27	13.2043175
28	13.1804383
29	13.16344696
30	13.12750957
31	13.1079531
32	13.0926666
33	13.0618955
34	13.04011698
35	13.02915393
36	13.00483366
37	12.98129225
38	12.94502293
39	12.93425136
40	12.92038973
41	12.90120685
42	12.87219732
43	12.86312271
44	12.84184404
45	12.81626505
46	12.80441111
47	12.78656422
48	12.77036253
49	12.75999182
50	12.74066581
51	12.72807427
52	12.70952001
53	12.69596139
54	12.68065706
55	12.66364481
56	12.6466215
57	12.63129486
58	12.61190903
59	12.59740187
60	12.58332316
61	12.56444889
62	12.55243515
63	12.52630213
64	12.51397398
65	12.48609494
66	12.4693064
67	12.45381102
68	12.43790087
69	12.41900692
70	12.40095986
71	12.38010991
72	12.36689914
73	12.35446172
74	12.34711417
75	12.33330859
76	12.31500211
77	12.30256496
78	12.28570633
79	12.26587898
80	12.2561432
81	12.23080163
82	12.21079712
83	12.19741478
84	12.18014937
85	12.1661119
86	12.15092927
87	12.12969475
88	12.10868169
89	12.09808216
90	12.0742115
91	12.05281063
92	12.03550845
93	12.024984
94	12.00890129
95	11.99437926
96	11.98402433
97	11.95331269
98	11.93000905
99	11.91578356
100	11.89520929
101	11.876316
102	11.85038357
103	11.83570253
104	11.82168288
105	11.8093638
106	11.79584895
107	11.77931076
108	11.7573002
109	11.73512678
110	11.72227932
111	11.69695222
112	11.68629561
113	11.66957401
114	11.65042222
115	11.63435472
116	11.61865767
117	11.60382964
118	11.59613137
119	11.58168894
120	11.56550401
121	11.55708956
122	11.54419128
123	11.53330785
124	11.52048342
125	11.50754126
126	11.49535133
127	11.48927299
128	11.47937298
129	11.46977867
130	11.45918092
131	11.44844406
132	11.42948056
133	11.40546874
134	11.39582709
135	11.37501849
136	11.36800927
137	11.34454001
138	11.3175239
139	11.30695908
140	11.29562392
141	11.28603552
142	11.25881911
143	11.24779153
144	11.23840395
145	11.22706574
146	11.20686295
147	11.19606954
148	11.17561809
149	11.15248113
150	11.13538238
151	11.13096611
152	11.12167516
153	11.10245424
154	11.07730652
155	11.05536834
156	11.03067651
157	11.0181928
158	11.01425307
159	10.99591936
160	10.97891296
161	10.9697218
162	10.95325367
163	10.92843908
164	10.91018588
165	10.90219066
166	10.88338859
167	10.86640242
168	10.85075487
169	10.83957778
170	10.82689584
171	10.80236673
172	10.78696543
173	10.77595786
174	10.76445818
175	10.75425989
176	10.73480574
177	10.72196258
178	10.70307519
179	10.69337109
180	10.67329602
181	10.65979588
182	10.6466905
183	10.63448332
184	10.62194476
185	10.6066721
186	10.58601328
187	10.56964522
188	10.55824433
189	10.54162879
190	10.52911737
191	10.51510832
192	10.50159996
193	10.49006075
194	10.47307449
195	10.46135188
196	10.45304939
197	10.43499696
198	10.41638956
199	10.3981869
200	10.3792478
201	10.36195428
202	10.35276392
203	10.34351979
204	10.31795844
205	10.30825614
206	10.29262413
207	10.28499952
208	10.26959215
209	10.25824236
210	10.24637844
211	10.23923756
212	10.23200548
213	10.21519958
214	10.20556491
215	10.20135318
216	10.18890538
217	10.17690255
218	10.16215878
219	10.15412067
220	10.14402046
221	10.13375399
222	10.12169986
223	10.10912772
224	10.09277688
225	10.08381089
226	10.06887963
227	10.05364172
228	10.03961892
229	10.02563392
230	10.01445239
231	10.00281365
232	9.995793635
233	9.981949654
234	9.96608931
235	9.948301862
236	9.939188599
237	9.927323684
238	9.915602564
239	9.899569033
240	9.891450116
241	9.880814246
242	9.867420457
243	9.855190799
244	9.835193397
245	9.8226913
246	9.809447299
247	9.798418437
248	9.789902532
249	9.778853267
250	9.772799143
251	9.767588265
252	9.766154982
253	9.758276731
254	9.749147576
255	9.737454735
256	9.72722388
257	9.714829036
258	9.703786948
259	9.692558282
260	9.678540381
261	9.676425533
262	9.663424866
263	9.650716366
264	9.648568106
265	9.63432492
266	9.618597762
267	9.595885275
268	9.586523955
269	9.570766099
270	9.553235619
271	9.547518392
272	9.527962768
273	9.517746501
274	9.507422291
275	9.499456319
276	9.487283486
277	9.476787256
278	9.458521481
279	9.446464942
280	9.433603183
281	9.432676777
282	9.41596714
283	9.401749526
284	9.387985749
285	9.374982862
286	9.355869538
287	9.3401944
288	9.317674385
289	9.316284258
290	9.305873649
291	9.291329759
292	9.275412143
293	9.262943713
294	9.255354959
295	9.236808992
296	9.224024134
297	9.20731806
298	9.205279597
299	9.202902997
300	9.18509906
301	9.17131664
302	9.157455342
303	9.142519542
304	9.131319796
305	9.117518913
306	9.102587802
307	9.091906528
308	9.08252574
309	9.066766628
310	9.041483339
311	9.040511715
312	9.020928868
313	9.007350172
314	8.991422181
315	8.985677839
316	8.977978606
317	8.976847212
318	8.961942293
319	8.946714135
320	8.934062852
321	8.927195883
322	8.910392013
323	8.901881272
324	8.886689816
325	8.873770644
326	8.863105571
327	8.852078229
328	8.830886648
329	8.813934405
330	8.800125925
331	8.79023947
332	8.778638187
333	8.777320869
334	8.766060985
335	8.758694195
336	8.744709184
337	8.729605591
338	8.723535177
339	8.712316944
340	8.706733074
341	8.691961403
342	8.679624957
343	8.658401355
344	8.644340585
345	8.64337586
346	8.631953493
347	8.619422171
348	8.60844048
349	8.599952817
350	8.592898153
351	8.581719122
352	8.572335187
353	8.570641569
354	8.553566153
355	8.546449739
356	8.532108854
357	8.519083234
358	8.512031922
359	8.51082191
360	8.500859174
361	8.491003275
362	8.483730344
363	8.469275974
364	8.46819819
365	8.462207133
366	8.453392227
367	8.44395245
368	8.431310707
369	8.417740172
370	8.407295805
371	8.392420132
372	8.384096236
373	8.38071723
374	8.376950632
375	8.36171824
376	8.353010604
377	8.331780216
378	8.322462499
379	8.303552134
380	8.288502854
381	8.275679286
382	8.264418688
383	8.263043526
384	8.253676128
385	8.247576662
386	8.24605178
387	8.234408123
388	8.228416361
389	8.213614538
390	8.203349116
391	8.190538179
392	8.17360537
393	8.165278008
394	8.151052274
395	8.136652597
396	8.127071743
397	8.11662711
398	8.108846749
399	8.107307326
400	8.1004557
401	8.090293913
402	8.08016562
403	8.077136737
404	8.06616093
405	8.053361959
406	8.034038977
407	8.01816191
408	7.996631236
409	7.986251444
410	7.972896846
411	7.961487842
412	7.951222223
413	7.941074676
414	7.931663573
415	7.921152772
416	7.913586411
417	7.899125406
418	7.882292928
419	7.86755823
420	7.858152756
421	7.848465526
422	7.840766035
423	7.831305652
424	7.818849865
425	7.806060222
426	7.798371091
427	7.790146478
428	7.778337824
429	7.775685038
430	7.764134362
431	7.752095015
432	7.735906567
433	7.721279214
434	7.714711017
435	7.702750097
436	7.691344777
437	7.678692677
438	7.668749506
439	7.653907585
440	7.641225197
441	7.627243471
442	7.612009424
443	7.599919501
444	7.584940717
445	7.571735774
446	7.560148306
447	7.550094441
448	7.540466276
449	7.532131301
450	7.524370566
451	7.513292489
452	7.505194934
453	7.494680456
454	7.48327439
455	7.475378392
456	7.462083307
457	7.449184977
458	7.438777469
459	7.435640911
460	7.434786249
461	7.426104179
462	7.416979463
463	7.412237984
464	7.40110559
465	7.393188852
466	7.387341887
467	7.367494762
468	7.357398062
469	7.352691589
470	7.341520606
471	7.32478646
472	7.315430076
473	7.303928465
474	7.298381759
475	7.285563371
476	7.276099355
477	7.261048856
478	7.253116874
479	7.246564331
480	7.237657026
481	7.226746449
482	7.210323935
483	7.199842637
484	7.183708432
485	7.172212051
486	7.158524681
487	7.150673008
488	7.141509004
489	7.136093472
490	7.13014132
491	7.116232623
492	7.107684899
493	7.101677582
494	7.093030122
495	7.079593785
496	7.064820596
497	7.060565708
498	7.042909035
499	7.032491689
500	7.021379054
501	7.005855387
502	7.000296872
503	6.995049663
504	6.988565144
505	6.979012348
506	6.970117878
507	6.961867883
508	6.956099434
509	6.944240973
510	6.939543934
511	6.928057725
512	6.913127545
513	6.904927586
514	6.892668739
515	6.881245678
516	6.868498298
517	6.864474574
518	6.856345999
519	6.8448187
520	6.838945439
521	6.825378112
522	6.817822934
523	6.808159273
524	6.797759799
525	6.786422253
526	6.779440565
527	6.77093136
528	6.762011153
529	6.753776586
530	6.74548577
531	6.744492251
532	6.730106083
533	6.720086186
534	6.708436185
535	6.695850849
536	6.685846614
537	6.676200633
538	6.670408777
539	6.656814561
540	6.64318866
541	6.633492841
542	6.626251232
543	6.62126079
544	6.61174933
545	6.60087284
546	6.590781766
547	6.583083963
548	6.567013011
549	6.566526404
550	6.562653323
551	6.557859842
552	6.547330936
553	6.536100887
554	6.528136069
555	6.521659196
556	6.513263273
557	6.502842038
558	6.499118456
559	6.490072943
560	6.483780873
561	6.475597385
562	6.464822839
563	6.456526492
564	6.444782821
565	6.433788171
566	6.427287114
567	6.416354576
568	6.407697104
569	6.404572588
570	6.398267694
571	6.391870185
572	6.384869052
573	6.376998221
574	6.370982021
575	6.363819064
576	6.358203934
577	6.354807958
578	6.348055764
579	6.340599545
580	6.330531732
581	6.316665818
582	6.313288022
583	6.308439748
584	6.299345996
585	6.289115634
586	6.280429451
587	6.274473899
588	6.268294693
589	6.258223073
590	6.254091481
591	6.239813528
592	6.227282689
593	6.221817654
594	6.217117042
595	6.204260613
596	6.195295945
597	6.182853814
598	6.179287483
599	6.170270643
600	6.16077217
601	6.155031231
602	6.149440518
603	6.146191343
604	6.137918551
605	6.127541378
606	6.12053454
607	6.107695029
608	6.093115578
609	6.087420026
610	6.076886845
611	6.062768585
612	6.052772945
613	6.043180944
614	6.037762736
615	6.030269847
616	6.020159226
617	6.013201138
618	6.004669038
619	5.998253906
620	5.989013145
621	5.978750846
622	5.972080537
623	5.971650805
624	5.961887202
625	5.95174583
626	5.944686284
627	5.9352578
628	5.930284494
629	5.924774419
630	5.916355529
631	5.908427646
632	5.897115153
633	5.895855448
634	5.887904397
635	5.880191502
636	5.873434938
637	5.865101417
638	5.859199072
639	5.854522106
640	5.852667447
641	5.841780933
642	5.83330435
643	5.822065605
644	5.814691413
645	5.810068407
646	5.801937774
647	5.790095118
648	5.783990442
649	5.7777971
650	5.77249752
651	5.758032447
652	5.745634309
653	5.737457098
654	5.736189639
655	5.73025508
656	5.721735749
657	5.715928804
658	5.713911357
659	5.704194664
660	5.697159874
661	5.689528399
662	5.682144458
663	5.673149174
664	5.665973209
665	5.657897469
666	5.652779236
667	5.648500356
668	5.639487114
669	5.633154176
670	5.630422841
671	5.620906818
672	5.614529108
673	5.60178899
674	5.592301309
675	5.585244876
676	5.583164353
677	5.579422486
678	5.56986843
679	5.565325309
680	5.556407356
681	5.55114488
682	5.541979618
683	5.537444271
684	5.531196859
685	5.52530416
686	5.518300741
687	5.508628231
688	5.508409419
689	5.503747627
690	5.494534895
691	5.488061506
692	5.479155779
693	5.471087157
694	5.461537643
695	5.46107482
696	5.460158218
697	5.454615672
698	5.453975837
699	5.449839758
700	5.446149512
701	5.440109518
702	5.432692499
703	5.422825186
704	5.415890699
705	5.411804029
706	5.410978862
707	5.410697376
708	5.400577578
709	5.396387328
710	5.392924744
711	5.385753707
712	5.384677485
713	5.376400737
714	5.373344652
715	5.372809782
716	5.365065525
717	5.358823562
718	5.354165654
719	5.351004178
720	5.345758415
721	5.34448646
722	5.335136011
723	5.334582819
724	5.326284822
725	5.320449686
726	5.310175816
727	5.300682695
728	5.295627681
729	5.28434689
730	5.278396119
731	5.271445425
732	5.258941496
733	5.250683498
734	5.245497198
735	5.240554126
736	5.2341287
737	5.228832749
738	5.222499984
739	5.218579217
740	5.207553151
741	5.198627224
742	5.192265499
743	5.186032464
744	5.176978536
745	5.173384072
746	5.168238758
747	5.162966288
748	5.156823055
749	5.150060596
750	5.143378874
751	5.135338252
752	5.124381148
753	5.117369539
754	5.112113589
755	5.097757062
756	5.092599881
757	5.088105283
758	5.076838075
759	5.069351152
760	5.056782668
761	5.049207246
762	5.04436414
763	5.037281959
764	5.032954444
765	5.026569779
766	5.026389667
767	5.01831003
768	5.012277919
769	5.008494802
770	5.005782825
771	5.003424277
772	4.994548771
773	4.989910609
774	4.982782466
775	4.977623575
776	4.974021045
777	4.967119203
778	4.961930666
779	4.956209661
780	4.951030332
781	4.944122754
782	4.939617426
783	4.932252326
784	4.92685292
785	4.920740651
786	4.913830277
787	4.908703726
788	4.901067241
789	4.894389627
790	4.88908307
791	4.882369182
792	4.873223998
793	4.868017576
794	4.86468601
795	4.859318627
796	4.854021568
797	4.849403065
798	4.841975938
799	4.838412765
800	4.83083944
801	4.830557884
802	4.825203996
803	4.819227882
804	4.814522844
805	4.808125279
806	4.795014342
807	4.790233803
808	4.786166567
809	4.783192786
810	4.78278984
811	4.776647281
812	4.770390849
813	4.762393897
814	4.758295008
815	4.753553912
816	4.745005516
817	4.740692672
818	4.733565173
819	4.721529682
820	4.715211543
821	4.714127012
822	4.70765007
823	4.704462437
824	4.69644282
825	4.69007688
826	4.680513333
827	4.672090787
828	4.664204864
829	4.657059639
830	4.649338626
831	4.644554715
832	4.638024111
833	4.631950898
834	4.624129799
835	4.618882574
836	4.613854817
837	4.609743814
838	4.59973183
839	4.598417648
840	4.592127069
841	4.591914392
842	4.59082851
843	4.583330348
844	4.576360564
845	4.572421599
846	4.561207738
847	4.555921629
848	4.550560349
849	4.544520665
850	4.543121583
851	4.53948196
852	4.53255198
853	4.524613347
854	4.518480823
855	4.518247837
856	4.515017127
857	4.509928746
858	4.503036585
859	4.498736963
860	4.495626838
861	4.489943949
862	4.486560427
863	4.483417959
864	4.480415389
865	4.47244059
866	4.466258893
867	4.462007726
868	4.455299891
869	4.452650788
870	4.450208636
871	4.446750954
872	4.440653108
873	4.435634759
874	4.431007121
875	4.424397418
876	4.419230073
877	4.416239916
878	4.412073992
879	4.411473601
880	4.411293329
881	4.406051263
882	4.398466405
883	4.396229999
884	4.391719037
885	4.388965751
886	4.380744928
887	4.375745315
888	4.372972842
889	4.367020469
890	4.364744057
891	4.364609279
892	4.354135797
893	4.352943436
894	4.34403216
895	4.338675191
896	4.334938317
897	4.334749619
898	4.334429235
899	4.331684441
900	4.324487733
901	4.324335228
902	4.320938067
903	4.320660921
904	4.316390425
905	4.312094093
906	4.307468951
907	4.302840035
908	4.298374539
909	4.297896792
910	4.297755995
911	4.297317015
912	4.297178905
913	4.297062542
914	4.29284434
915	4.28261061
916	4.275878056
917	4.272012869
918	4.265705167
919	4.253974043
920	4.250570591
921	4.247758064
922	4.243229031
923	4.239722455
924	4.239471982
925	4.234659544
926	4.231420929
927	4.227660324
928	4.219352361
929	4.21713427
930	4.21076022
931	4.205088244
932	4.202624138
933	4.197059906
934	4.194099317
935	4.188535221
936	4.18480653
937	4.178936851
938	4.177815901
939	4.175201897
940	4.171468405
941	4.168853244
942	4.162511076
943	4.157393563
944	4.152990781
945	4.147213106
946	4.140692117
947	4.137186926
948	4.133901104
949	4.130757963
950	4.124095179
951	4.119785473
952	4.115532407
953	4.110471968
954	4.107241273
955	4.103651358
956	4.096392385
957	4.095743809
958	4.09551419
959	4.095380536
960	4.092711633
961	4.088729802
962	4.084368823
963	4.081369314
964	4.073256472
965	4.069537968
966	4.067999721
967	4.063720074
968	4.059788837
969	4.05135399
970	4.047574504
971	4.039149156
972	4.037636578
973	4.037514323
974	4.029980276
975	4.025131529
976	4.017194264
977	4.012709557
978	4.006094303
979	4.00053651
980	3.997351962
981	3.991593313
982	3.986793229
983	3.980783647
984	3.980664696
985	3.977890774
986	3.972728946
987	3.971836174
988	3.963318739
989	3.956382563
990	3.954059139
991	3.946926926
992	3.941759489
993	3.939744762
994	3.936594063
995	3.932523695
996	3.926528193
997	3.921208539
998	3.91809184
999	3.912799336
